Category,Best_Model,R2,RMSE,AIC,BIC,Initial_mAP,Final_mAP,Total_Decline,Percent_Decline,Param_1,Param_2,Param_3,Param_4
total,Cubic,0.9913448705312626,0.024909089887734857,-169.2410793469976,-164.5288640256058,0.9384858878686371,0.14405148765956213,0.794434400209075,84.65064957058517,1.0155148584066467,-0.30904566246763815,0.033209745687827065,-0.00097941823172777
general,Cubic,0.9961346270711202,0.013510843123091327,-198.6046106378858,-193.892395316494,0.9970005533960629,0.4232063496666367,0.5737942037294261,57.552044657841215,0.9986619984527608,0.03142826067636074,-0.041066263241120685,0.0035704646554573162
subclass,Cubic,0.984609441357897,0.036199124472947986,-151.29857662110686,-146.58636129971507,0.9325363547327149,0.09862439683177983,0.8339119579009351,89.42406949270651,1.0312931697560443,-0.3263117426988761,0.03192566300038111,-0.000641400595206771
color,Cubic,0.9968013454930351,0.011524251553790426,-206.2384783989267,-201.5262630775349,0.9480126556318267,0.3164238884961782,0.6315887671356485,66.62239827533847,0.9844047811765146,-0.1955390034107594,0.01762189373932705,-0.00043878644938317074
features,Cubic,0.9895789649070948,0.03016336998539271,-160.05409624807754,-155.34188092668575,0.9298191815251763,0.039394606968700306,0.890424574556476,95.7631970009393,1.0193408552271903,-0.41987986032771896,0.05758609693409991,-0.002520676238406966
